beer_name,beer_rating,brewery_location,brewery_name,review_content,reviewer_name
Hardywood The Great Return,4.2,"Richmond, Virginia",Hardywood Park Craft Brewery,"Bottle. Decent orange-y pour, with frothy white head. Lots of mango/citrus fruit in the aroma, and a hint of cotton candy? Medium body, bread-y finish. Lots of malt character, and the bitter hops compliment nicely. Well done.",AWS9
Moor Wee Heavy,3.4,"Bristol, Gloucestershire",Moor Beer Co.,"Bit peaty, maybe smokey notes in the aroma with a caramel, biscuits and alcoholic, but definitely not even sharp back. Taste is semi dry with a notes of peated, smokey bites through earthy, dusty, bit harshy background. Good interpretation, keep up the nice work.",MikeBeermaster
Grain & Grit Gimme Gimme Guava & Passion Fruit Sour,4.3,"Hamilton, Ontario",Grain & Grit,"Fresh from the source. Hazy light pink pour, with a big off white pinkish head. aroma is a blast of pungent, funky, dank passion fruit. Stne stone fruit, and lactic notes make an appearance. mouth feel is tart, full, with a lively carb. Finish is low bitter, high pucker, passion fruit abound with some citrus, and stone fruit sweetness to round it out. fantastic stuff.",robinvboyer
Howling Hops House IPA,3.7,"Hackney, Greater London",Howling Hops,"440ml can.  Pours hazy light with a medium head.  Aroma is stone fruit, papaya and sherbet.  Taste is sweet papaya to start.  Bitter stone fruit, melon and onion finish.",tommann
Lancaster Red,3.6,"Lancaster, Lancashire",Lancaster Brewery (UK),"Tight creamy off white head stayed on a reddish brown still body - Looks lovely.
Malt, raisin, berry & caramel aroma.
Medium bodied, soft & creamy over the tongue with a clean back.
Malt, spices, red berries, raisin & jam tastes with a peppery finish.",simontomlinson
Sons of Kent Zephyr Dry Hopped Sour,2.8,"Chatham , Ontario",Sons of Kent,"Can from the LCBO. slightly hazy yellow pour, with a medium white head. light aroma of lemons, and citrus zest. light hay, and dried grass. tartness is very low, no bitterness, light lactic notes. its a meh sour, very mild, entry level.",robinvboyer
Ayinger Weizenbock,3.8,"Aying, Bavaria",Brauerei Aying,"Bottle. Pours dark yellow with an orange hue, opaque with a full smooth head. Nose is fruity and spicy, banana, clove, hints of vanilla, grain and caramel. Medium sweetness, with a light bitter and dry finish. Full bodied, thick, with medium carbonation. Smooth and creamy mouthfeel, light alcoholic warmth. Flavor is complex, fruity and spciy with a touch of toffee. Banana, clove. Light touch of pepper.",bartholos
Other Half Bloomfield Zoo,4.0,"Brooklyn, New York",Other Half Brewing,"Can. Aroma is pineapple, papaya, mango. Hazy yellow with white head. Taste is moderate+ sweet, pineapple and papaya mostly. Full body, smooth feel and sweet tropical finish.",DroolYeast
Hatherwood Hop Hunter Session IPA (Shepherd Neame),3.0,"Wimbledon, Greater London",Lidl UK,"330ml bottle from Lidl, Leatherhead. Pours clears golden with a thin white head. Aroma of malt with mild hops. Malt taste. Mild bitter finish.",GuideDogSaint
Oskar Blues Can-O-Bliss Tropical IPA,3.9,"Longmont, Colorado",Oskar Blues Brewery (CANarchy Craft Brewery Collective),"355 ml can. Cloudy golden, fluffy head. Mango, papaya, melon, some pine, spicy hops, floral notes. Hoppy bitterness, fruity sweetness. Full bodied, milky texture, soft carbonated, dry hoppy finish. Nice and juicy fruity IPA!",tgrtnr
Sweetwater IPA,3.8,"Atlanta, Georgia",Sweetwater Brewing Company,"Can tapped, enjoyed at home. Had this on tap many times, finally rating it. Pours a somewhat hazy dark gold, somewhat towards amber, little head. Aroma is sweet, lots of caramel, grassy and herbal hops, a bit of pine. Medium body. Flavour is sweet, nice clean malt base with a lovely caramel touch. Really lovely malt base. Medium bitterness, one gets a nice bitter kick at the first sip. Hops is balanced nicely with the malt, not taking over at all resulting in a classic English IPA profile. Grassy, herbal, smooth orange and citrus notes and a good restrained pine kick. My local pub here have this as a regular IPA on tap and it is indeed perfect as a go-to IPA when you're in the mood for a simple 'comfort beer'. A really nice IPA.",BenL8
Category 12 Dichotomy,3.6,"Saanichton, British Columbia",Category 12 Brewing,"Pale and hazy, a bit dull with a medium head. There's a light pretty wildness, and a clean pale malt character. I was thinking it would be more assertive, but it's nice, decent, easy-drinking.",Oakes
Backcountry Three Stacks of High Society,3.4,"Squamish, British Columbia",Backcountry Brewing (BC),Blonde. Has a nice nelson aroma. I mean it's yeasty and typical Backcountry DIPA. I like it but I don't want to think too hard about it.,Oakes
Field House Galaxy Meridian DIPA,3.9,"Abbotsford, British Columbia",Field House Brewing,"Pale amber colour,  with a medium head. Lots of hops, fairly big bitterness. Floral, with tropical fruit accents. The malts have just a hint of chewiness to them. I quite like this one.",Oakes
De Dolle Dulle Teve 10º (Mad Bitch),3.7,"Diksmuide, Belgium",De Dolle Brouwers,"Yeasty, malty, alcoholic triple, lots of complexity and the yeast is substantial. A big tasting triple though not as wild I remember it being.",Oakes
Beatnikz Republic Writer's Block,3.6,"Manchester, Greater Manchester",Beatnikz Republic Brewing Co.,"440ml (7.1%) at home on 27 Apr 2020, source unknown (bb 28 Nov 2019): floral, herbal, citrus aroma, hazy golden amber, foamy cream head, intricate pattern of lacing, juicy, herbal, grapefruit, toffee flavour, viscous, good carbonation, quite sweet finish.",mr_h
Northern Monk Sunday Dinner,2.2,"Leeds, West Yorkshire",Northern Monk Brew Co.,"Dark brown (cola coloured) with no head. Aroma of bready malts and indistinguishable savoury notes. Taste of sweet malts, slight bitterness and saltiness. Rather bland and very thin, watery mouth. Not pleasant.",SampleLegion47
Löwenbräu Original,2.9,"Munich, Bavaria",Löwenbräu Munich (AB InBev),"Tight white head stayed on a well carbonated translucent pale golden body.
Grass grain & cereal aroma.
Medium bodied, nicely carbonated on the tongue with a creamy back.
Malt, bread, cereal & sweet fruity tastes.
Not bad for a lager.",simontomlinson
AleSmith Speedway Stout,4.6,"San Diego, California",AleSmith Brewing Company,"Thisnis really just a really good beer. Fruty and a eksklusive raste that goes arround in All The moth to a 5 star.
IT Really deserves its plave in top 10 in thw world.",den.lille.tomrer
Wiper and True Hard Shake 05 Imperial Milk Stout,3.8,"Bristol, Gloucestershire",Wiper and True,"330ml bottle. Opaque, quasi black colour with slightly late awakening, small, thick, creamy, fading, dark beige head. Chocolately, dark malty aroma, hints of milk chocolate, couverture, cocoa, roasted nuts, a touch of lactose, a fruity touch of grape sugar, some dried fruit, raisin, sultanine. Taste is sweet-ish, chocolately dark malty, minimally sugary, notes of milk chocolate, couverture, dark chocolate, hints of lactose, a touch of roasted nuts, cocoa and grape sugar, cautious hints of dried fruit, raisin, sultanine; a very cautious touch of alcohol-soaked raisin, but perfectly hidden alcohol overall. Viscous texture, super-soft, smooth and silky palate, soft to flat carbonation.",Idiosynkrasie
St. Peter's Ruby Red Ale,3.1,"Bungay, Suffolk",St. Peter's Brewery,"Bevuta in bottiglia.  Birra ambrata. Non male,  ma un po' leggera e poco corposa. Bella bottiglia.",BitterTamer20
Central Waters Brewer's Reserve Rye Barrel Chocolate Porter,4.0,"Amherst, Wisconsin",Central Waters Brewing Co.,"Bottle @ Scheffel and Thomas A share, Oluf Bagers Gade. Pours Black with a creamy beige head and lacings. Bourbon and Rye. Chocolate. Vinous. Slick. Tasty and uncomplicated. Nice",Dedollewaitor
S43 Tropic Fruit Punch,3.4,"Durham, Durham",S43 Brewery,"Cloudy pale amber, thin short lasting head. Hoppy orange, pineapple, mango aroma. Taste of orange and hops. Thick mouthfeel. Nice and easy to drink.",SampleLegion47
Central Waters Brewer's Reserve Rye Barrel Chocolate Porter,4.0,"Amherst, Wisconsin",Central Waters Brewing Co.,Black with a lasting off-white head. Aroma of roasted malt with chocolate and cocoa. Sweetish roasted flavour with roasted malt and chocolate in good balance. Great old school stout,Christian
Brew York / BrewDog York Goose Willis,3.8,"York, North Yorkshire",Brew York,"Pale amber, hazy, with thin short-lasting white head. Light floral, fruity aroma (grape), hint of citrus (lemon, lime). Taste is sweet slightly tangy, light and quite fizzy. Fairly dry, tart, salty finish. Crisp and refreshing.",SampleLegion47
Howling Hops Switch Back,3.3,"Hackney, Greater London",Howling Hops,"440ml can from We Brought Beer, Balham.  Hazy straw with a white head.  Aroma of pithy citrus, pineapple, peach and straw.  Some sweeter notes at first, and then a burst of bitter, grassy hops, followed by a grainy, cereal note.  Good body for 4.5%.  Another very decent HH pale.",Beese
LHG Brewpub Cashmere & Citra Sour,3.8,"Bristol, Gloucestershire",LHG Brewpub,"Hazy pale golden with short-lasting white head. Light floral and citrus aroma. Taste of slightly tangy lemon and malts. Dry finish. Very light body and mouthfeel. Excellent drink, could be a little more sour.",SampleLegion47
Samuel Smiths Organic / Old Brewery Pale Ale,3.4,"Tadcaster, North Yorkshire",Samuel Smith,"550ml bottle from Cannon Hall Farm Shop, Barnsley. Body slightly hazy copper-amber with a small, short lived, off-white head. Nose is sweet bready malt, caramel and butter. Sweet flavour of bready malt, caramel, toffee, light citrus and a hint of spice with a dry, mildly bitter finish. Well balanced and easy to drink.",jamesie1857
R. Shea Our Saving Grace,3.8,"Akron, Ohio",R. Shea Brewing,"16 oz. can from the Root Cellar. Pours dark brown to black in color with a medium sized khaki colored head. The aroma and flavor have big sweet malts, marshmallow fluff, creamy peanut butter, chocolate, caramel, viscous, syrupy, pretty sweet, I think it is better to share, good.",alexsdad06
Northern Monk / Wylam Northern Powerhouse Brew Series 2019 004,2.7,"Leeds, West Yorkshire",Northern Monk Brew Co.,"Cloudy light golden with short-lasting white head, little lacing. Aroma is subtle tropical fruit (pineapple, mango). Taste is sour, slightly tangy, funky citrus. Dry, sour finish. Medium body, good carbonation. Not really to my taste.",SampleLegion47
Northern Monk / North Brewing Co Northern Powerhouse Brew Series 2019 002,3.8,"Leeds, West Yorkshire",Northern Monk Brew Co.,"Cloudy pale orange with good long lasting white head. Aroma of sweet summer berries, tangerine, grapefruit. Taste is very juicy grapefruit and tangerine, slightly sweet, tart and a hint of saltiness. Good sour finish. Light body, medium to thick mouthfeel. Pleasant drink.",SampleLegion47
Titanic Captain Smiths,2.7,"Stoke-on-Trent, Staffordshire",Titanic Brewery (UK),"Red brown in colour
A good strong esb bitter with malty roasted hops
Cask beer found at Wetherspoons bury st edmunds",bowling
Titanic Stout,3.6,"Stoke-on-Trent, Staffordshire",Titanic Brewery (UK),"Strongly favoured well balanced good old fashioned black stout
A little light on abv but easy to drink
Hoppy malty roasted notes
Found at Wetherspoons in bury st eds",bowling
Titanic Iron Curtain Russian Stout,4.5,"Stoke-on-Trent, Staffordshire",Titanic Brewery (UK),"A fabulous winter ale with great body and texture
Malty biscuity notes black in colour with a long satisfying aftertaste
Found in Wetherspoons bury st eds",bowling
Titanic Iceberg,3.0,"Stoke-on-Trent, Staffordshire",Titanic Brewery (UK),"A clean clear light coloured wheat beer
Nice balance with zesty after taste
Great summer session beer
Found at Wetherspoon bury st eds",bowling
Titanic Extra Dry Stout,3.1,"Stoke-on-Trent, Staffordshire",Titanic Brewery (UK),"Quite a difficult find
500ml bottle
A good body with bitter malty roast aroma
Nice winter warmer with lasting taste",bowling
Fuller's Imperial Stout (10.7%),3.1,"Chiswick, Greater London",Fuller's Brewery (Asahi),"Good taste, not af strong as I Hoped. The chochlate is there, but the cherry isent so mutch in play before a few sips.",den.lille.tomrer
Timothy Taylor's Knowle Spring,2.5,"Keighley, West Yorkshire",Timothy Taylor's,"A full bodied blonde ale
Fresh and clean taste
Light coloured with small white head
Found at Wetherspoons in bury st edmunds",bowling
Timothy Taylor's Ram Tam (Cask),3.0,"Keighley, West Yorkshire",Timothy Taylor's,"Good heavy body
Dark in colour
Warming winter beer
Malty biscuity after taste
Found in Wetherspoons in bury st edmunds",bowling
Odyssey Splashdown,3.5,"Whitbourne, Herefordshire",Odyssey Brew Co,"Pressurized growler @home. Pesca giallona, torbida, schiuma bianca leggera, poco persistente. Al naso frutta tropicale, mango, melone, pesca matura. In bocca è dolce, fruttata, succosa, con spunto amaro leggero. Corpo medio-leggero, carbonazione medio-leggera. Buona.",Mortlach
Chandeleur Island Raspberry Ginger,3.6,"Gulfport, Mississippi",Chandeleur Island Brewing Company,"12 oz. can. Pours a clear, bright pink, with a big, bubbly, white head. The nose is tart raspberry, orange peel, bread dough, lime, and fresh ginger. Sweet and fruity, with an easy, sour bite. Light to medium body, with a crisp, acidic palate. This is a simple and solid sour.",GTAEgeek
Great Lakes Tetrahedron (Rum Barrel-Aged),4.1,"Etobicoke, Ontario",Great Lakes Brewery (Ontario),"Brown bottle, 11.5%, via CANBIF - October 2019, enjoyed on April 26 2020; eye: red brown, cloudy, no effervescence, small ring of beige head, no lacing; nose: rum, raisins, alcohol, light brown sugar, light alcohol; mouth: rum, raisin, alcohol, light brown sugar, light alcohol warmth, finale in rum with presence of raisins, full-bodied, lightly below average carbonation, lightly sweet, slick and lightly alcoholic texture; overall: nice surprise
 

FRANÇAIS

Bouteille brune, via CANBIF - octobre 2019, savourée le 26 avril 2020; œil : brun roux, trouble, pas d’effervescence, petit anneau de mousse beige, pas de dentelle; nez : rhum, raisin sec, alcool, léger cassonade, léger alcool; bouche : rhum, raisin sec, alcool, léger cassonade, léger alcool, léger chaleur d’alcool, finale en rhum avec présence de raisin sec, corsée, carbonatation légèrement sous la moyenne, légèrement sucrée, texture coulante et légèrement alcoolique; en résumé : belle surprise",GRM
Gizmo / Top of the Hill / Tobacco Road The Assist,3.4,"Raleigh, North Carolina",Gizmo Brew Works,"2 month old can
A: Deep orange gold pour with a short fluffy head retaining well.
S: Light scent of lemon/orange citrus, caramel and bread.
T: Tart and bitter citrus and pine with bread and wood. Faint caramel and alcohol join some lingering tropical fruit to finish. 
M: Medium full body, light carbonation and a smooth fairly dry finish.
O: Nicely balanced, tasty and drinkable. Worth trying while still around.",malvrich
Garagiste Cilice,3.8,"Tampa, Florida",Garagiste Meadery,"Rami Rami is drinking a Barrel Aged Cilice (Vanilla) by Garagiste Meadery at Untappd at Home

Kurde, cos mi tu nie do konca zagralo w aromacie - jakas przyprawowosc? Jakby imbir czy cos? Wynalazek, nie moje. Wanilia chyba jest, ale wcale bym glowy nie dal. I tak bdb",rami_pl
Founders Underground Mountain Brown,4.8,"Grand Rapids, Michigan",Founders Brewing Company (Mahou San Miguel),"Liquide marron avec mousse courte trs compacte. Nez caramel, caf. En bouche superbe attaque caf, puis quelques notes vanilles couvertes rapidement par le bourbon ultra puissant !!! C'est juste super top !!!",yann28
Chandeleur Island Guava Jelly,5.0,"Gulfport, Mississippi",Chandeleur Island Brewing Company,A sweet sour. Starts sweet and then leaves a sour tang on the tongue. It would make a great introductory sour or for anyone who enjoys a complex flavored sour.,epislongirl8
Shelton Stout Impérial (Bourbon),1.5,", Quebec",Bièrerie Shelton,"Can, 473 ml, purchased from Rapido, enjoyed on 19 April 2019; eye: black, opaque, no effervescence, no head, no lacing; nose: roasted malt, coffee, chocolate; mouth: roasted malt, coffee, chocolate, finale in rubber with presence of chocolate, medium body, average carbonation, lightly sweet, lightly acrid texture; overall: infected
 

FRANÇAIS

Canette, 473 ml, achetée chez Rapido, savourée le 19 avril 2019; œil : noire, opaque, pas d'effervescence, pas de mousse, pas de dentelle; nez : malt torréfié, café, chocolat; bouche : malt torréfié, café, chocolat, chocolat, finale en caoutchouc avec présence de chocolat, corps moyen, carbonatation moyenne, légèrement sucrée, texture légèrement âcre; en résumé : infectée",GRM
McKeown Bone Dry,1.2,-1.6,Cidre McKeown - Domaine Leduc-Piedimonte,"Can (random shop, Quebec). Clear yellow color. No head. Acidic white winter apples in aroma/taste. Watery and bland. Nope.",Marduk
Big Drop Pale Ale,0.8,-2,Big Drop Brewing Co.,"18-07-2019; bottle; at home (bought at Saveur Bière, as part of their February 2019 discovery box).
The looks of the beer are alright. Golden yellow colour, clear beer and very rough white head. Foam retention is almost non-existent. It looks a bit watery. It also ain't bubbling a lot. 
The aroma of the beer is soo-soo. Some simple rough malts that are a bit bready and some dry hop aromas. Grassy, piney and a bit zesty and fruity. But, not too strong. It all is a bit like a malt lemonade with some hop aromas dropped into it. It misses some of the soul of a beer.
The taste of the beer is okay. Bitter hops, sweet malts. Thats it. A bit rough and definitely simple. Not to unbalanced. But I expected a bit more. 
The palate of the beer is weak. Thin texture, light body and light carbonation. The finish is watery and short. It has some malts and some bitter hops. All in all, there are some essences of a Pale Ale in this beer. But, it misses soul, balance and yeast and alcohol. When do people start to realise beer just can't be made without alcohol. The yeast and alcohol are important parts of the aroma bouquet of a beer. It is the most important aspect of many beers. This is just a hop flavoured lemonade; nothing more, nothing less.",Gangstergafje
Coach House Blueberry Classic Bitter,5.0,+2.1,Coach House Brewing Co.,"Beautiful crisp tasting ale, very refreshing on a summer's day, lovely strong blueberry taste",Pigwah
Hofbrau Freising Jägerbier Export Hell,2.6,"Freising, Bavaria",Hofbrauhaus Freising (Toerring),"The beer has got a deep golden color with a steady head and medium body.  Aroma of hops and straw. Taste of hops, citrus fruits, straw, grains. Mild bitter finish.",McTapps
Alt-Bamberg Weissbier Alkoholfrei,1.5,"Bamberg, Bavaria",Braumanufactur Alt-Bamberg,"Da hatte ich wirklich schon bessere - eigentlich sind Weißbiere ja auch alkoholfrei ganz okay, aber das hier ist sehr matt, plädderich, langweilig.",Fisler
Wander Beyond Storm in a Teacup,3.9,"Manchester, Greater Manchester",Wander Beyond Brewing,"Rami Rami is drinking a Storm In A Teacup by Wander Beyond Brewing at Untappd at Home

Bardzi fajnie poskladany, kawa, troche syropu, czekolada, orzechy, ma goryczkec jest slodki... alko czuc ale i tak niezle schowane. Glowny zarzut: nie jest gesty. No i sama puszeczka mnie rozjebuje, piekna sprawa :)",rami_pl
Arkane / Cycle Dessert Eagle (German Cake) 2020 BA,4.2,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking a Dessert Eagle (German Cake) 2020 BA by Arkane Aleworks at Untappd at Home

Te dodatki nie za mocne, za to bardzo fajna beczka, cialo, slodycz, czekoladowosc. Kapinke agresywne. Nieco takie cukiernicze. Pyszka duza.",rami_pl
"Arkane / Mortalis 4 Fingers And ... (Chocolate, Coconut, Marshmallow)",4.3,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking a 4 Fingers And ... (Chocolate, Coconut, Marshmallow) by Arkane Aleworks at Untappd at Home

Fajowska, szlachetna beczka, kokos, czekolada, w toe jakies waniliowe klimaty, fajne cialo. Duza klasa puwi",rami_pl
Arkane Dessert Eagle (Fluffer) 2020 BA,4.1,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking a Dessert Eagle (Fluffer) 2020 BA by Arkane Aleworks at Untappd at Home

Sliczny ten aromat, kojarzy mi sie z jakimis ciasteczkami z czekolada i maslem orzechowym, wanilia, oreo... no taki do zaslinie ia sie. W uscie nieco agresywne i alko dosc mocne, ale fajne cialo, sporo spodyczy. O dziwo beczki jakby wiecej w uscie niz nos


Rami Rami: Aromat 4.3, usto 3.9",rami_pl
Arkane Unicorn Blood,3.9,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking an Unicorn Blood by Arkane Aleworks at Untappd at Home

Bardzo intensywny aromat, z pol metra czuc, taki malinowo-gumobalnowy. W uscie wysoka kwasnosc. Kapka slodyczy, ciala. Robi wrazenie. I mimo ze logika podpowiada jakas sztucznosc (tym pol metrem), to juz inne praktyczne odczucia nie :) pyszka",rami_pl
Weihenstephaner Kristallweissbier,4.0,"Freising, Bavaria",Bayerische Staatsbrauerei Weihenstephan,Goud geel bier met een mooie stevige witte schuimkraag met een fijne koolzuur prikkel. Het bier smaakt citrus fris en lekker granig. Daarnaast is de banaan goed te proeven en iets fris kruidigs. Het bier heeft ten opzichte van het 'normale' hefe weizener bier een lichter en minder romig karakter. Dit maakt het bier frisser en beter doordrinkbaar.,FlightLees22
Arkane Dessert Eagle - Rocky,4.2,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking a Dessert Eagle (Rocky) - Chocolate, Marshmallow and Walnut by Arkane Aleworks at Untappd at Home

Fajna beczka, nieco waniliowa. Slodkie, srednio ciala, wanilia jakas, marshmallows bym nie zgadl, mleczna czekolada fajna taka. Klasa puwi",rami_pl
Arkane 4 Fingers And...(T-Sex) BA,3.9,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking a 4 Fingers And...(T-Sex) 2020 BA by Arkane Aleworks at Untappd at Home

Fajna beczka najpierw, ale szybko sie ulotnila, pozniej te maliny w czekoladzie, troszke wytrawnie, wanilia moze w tle, calosc chlalna dosc, lekuchna w odbiorze, posmak dosc wytrawny. Pierwszy niuch 4.2, potem 3.8? To usrednie sobie ze wskazaniem na potem",rami_pl
Arkane Aleworks Grandma Fingers - Strawberry ,3.7,"Largo, Florida",Arkane Aleworks,"Rami Rami is drinking a Grandma Fingers: Cherry Pie (2020) by Arkane Aleworks at Untappd at Home

No faktycznie wisniowo-ciasteczkowe z hintem masla orzechowego jakby. W uscie niestety troche pusto, widniscie. Kwasnosc srednia, owocowa, bierze gore nad slodycza. Fajne i ciekawe, bdb z minusikiem",rami_pl
Dry Dock IPA,3.4,"Aurora, Colorado",Dry Dock Brewing Company,"パッションフルーツ、マンゴー、ストーンフルーツに発酵由来の酸味のあるアロマ
スムースで口当たりよく、爽やかなホップのフレーバーが感じられる飲みやすい１杯",tennistennis
Minchews Dabinett Cyder,3.2,"Tewkesbury, Gloucestershire",Minchews Real Cyder & Perry,"Polycask at Town Hall, Stockport Beer & Cider Festival 30/05/2003 Golden orange coloured and a little hazy in appearance with lots of alcohol present. Slightly bitter with a sharp finish.",DJMonarch
Wander Beyond / Track Cassiopeia,3.2,"Manchester, Greater Manchester",Wander Beyond Brewing,"Rami Rami is drinking a Cassiopeia by Wander Beyond Brewing at Untappd at Home

Nie zagralo do konca, bo aromat nawet fajny acz sztuczny, ale w uscie jakies takie bez ciala a mega slodkie, drapuace i nieco jarajace gardlo. Paleta faktucznie karmelowa, ale tez orzechowa. I do tego bledy w rysunkach gwiazdozbiorow na puszce. A>>S


Rami Rami: Jak sie ogrzal ma cos w rodzaju niestmpatycznej i wysokiej goryczki :(",rami_pl
Wander Beyond / Slim Pickens Marauder,3.8,"Manchester, Greater Manchester",Wander Beyond Brewing,"Rami Rami is drinking a Marauder by Wander Beyond Brewing at Untappd at Home

Z biala czekolada sie nie kojarzy. Mega maliny, do tego brownie i jakby hint masla orzechowego plus wanilia. W uscie kwaskowatosc malinowa i slodycz stoutowa, Ciala niezawiele. Alko b ladnie schowane. Raczej aromat > smak. Sliczna puszeczka puszunia.",rami_pl
Upland Prim,3.5,"Bloomington, Indiana",Upland Brewing Company,"Rami Rami is drinking a Prim by Upland Brewing Company at Untappd at Home

Ze sliwki to nie wiem, czy bym zgadl, Takie winogronowo-cytrynowe te sliwki ;) ale owocowosc ewidentna. Kwasnosc tez o wydzwieku owocowym spooora. Ze bylo w beczce moooze troche czuc przez lekka cierpkosc? Dzikusow praktycznie czuc. Rzeskie, niezlozone

Rami Rami: Ten krdamon to moze na granicy percepcji.

Rami Rami: *Dzikusow praktycznie nie czuc",rami_pl
Hardywood Mega GBS [Gingerbread Stout] (Apple Brandy Barrel),4.2,"Richmond, Virginia",Hardywood Park Craft Brewery,"Rami Rami is drinking an Apple Brandy Mega GBS (2019) by Hardywood Park Craft Brewery at Untappd at Home

Ej, pozytywny zaskok, jest troche tych dodatkow nienarzucajaco sie, do tego jakby ciemne owoce, rodzynki, fajna calkiem beczka, jakies kandyzowane klimaty... fajne cialo. Cynamon obecny fajnie w posmakach. No wgl pyszka",rami_pl
Perennial Coconut Abraxas,4.0,"St. Louis, Missouri",Perennial Artisan Ales,"Rami Rami is drinking a Coconut Abraxas (2019) by Perennial Artisan Ales at Untappd at Home

Sporo tego kokosa, czuc wyraznie bardzo. Tez mam wrazenie, ze jakims cudem wiecej papryczek niz w podstawce. Calosc troche jak bounty z gorzkiej czekolady z papryczkami. Zaskakujaco, bo jest slodkie, ale czuc gorzka czekolade :) znow cynamonu niezawiele",rami_pl
Garagiste Drop Bear,4.2,"Tampa, Florida",Garagiste Meadery,"Rami Rami is drinking a Drop Bear by Garagiste Meadery at Untappd at Home

Duza pyszka, te winogrona czy cototam fajnie i tensywne, jest jakas kwiatowosx, b duzo ciala, slodyczy, lekka kwaskowata kontra. Pyszka",rami_pl
Garagiste Four Legged Friends Melomel,3.8,"Tampa, Florida",Garagiste Meadery,"Rami Rami is drinking a Four Legged Friends by Garagiste Meadery at Untappd at Home

Malo ciala :( malo slodyczy. Owocowosc niby jest, ale aronia nie ma jakiegos zajebistego aromatu. Cierpkosc obecna. I ta cierpkosc plus smak aronii robia robote. Smak > aromat > cialo. Bdb wciaz",rami_pl
Garagiste Ripcurrant,4.1,"Tampa, Florida",Garagiste Meadery,"Rami Rami is drinking a Ripcurrant by Garagiste Meadery at Untappd at Home

O jebanany, ale kwasny. Dla mnie za kwasny, az slinianki pierdolca dostaja. Ma to swoj niewatpliwy urok, zwlaszcza w polaczeniu z b intensywna owocowoscia i mega cialem. Wynalazek, ale mega ciekawy",rami_pl
Garagiste Atacama,4.3,"Tampa, Florida",Garagiste Meadery,"Rami Rami is drinking an Atacama by Garagiste Meadery at Untappd at Home

Zajebioza, slodkie, kwaskowate, owocowe wchuj, beczka wygladzila, i wzbogacila nawet aromat kapke, ciala multum, najlepsze dzisiaj z miodkow. Plus fajowy foodpairing odkrylem - vide foto

aha, info dla RB: na foto byl malosolny :)",rami_pl
Garagiste Borealis,4.2,"Tampa, Florida",Garagiste Meadery,"Rami Rami is drinking a Borealis by Garagiste Meadery at Untappd at Home

Bardzo fajna owocowosc, duza slodycz, lekka kwaskowatosc w posmakach bardzo dlugich. Beczki bym nie zgadl. Klasycznie tak melomelowo i pysznie",rami_pl
Ram Schaumburg Side Note Meh-He-CoCo,3.8,"Schaumburg, Illinois",Ram Schaumburg,"Rami Rami is drinking a Side Note (#5 Meh-He-CoCo Batch 2) by RAM Restaurant & Brewery / C.B. & Potts at Untappd at Home

Probka w ciemno. Nie mam pojecia jaka beczka i jaki dodatek, bo po prostu stoutowe nuty dominuja, acz calosc nie jest intensywna (blad: pita po db cln lvn). Koniak i marshmallows? Alkoholowe (albo to papryczki, bo w posmakach pali troche). Konfuzja :)


Rami Rami: Cynamonu - nawet juz nie w ciemno - nie czulem. No, moze wmawiajac sobie :)",rami_pl
Budweiser,2.0,"St. Louis, Missouri",Anheuser-Busch InBev (AB InBev),"Probably a good beer to give to someone who says they don’t like beer. The bland, completely inoffensive taste will make them curious to try real beer.",shivermetimber.gray
St-Ambroise Noire à l'Avoine / Oatmeal Stout,3.5,"Montréal, Quebec",Brasserie McAuslan (Brasseurs RJ),"12oz bottle from BC Liquor, Vancouver, BC and drunk on 12/09/2008.  A very well made stout.  Black with a dense tan head.  Aroma of chocolate, molasses, roasted malt and coffee.  More bitter coffee and dark chocolate flavours.  Good bitter finish.",Beese
Phillips Amnesiac Double IPA,4.0,"Victoria, British Columbia",Phillips Brewing Co.,"12oz bottle from BC Liquor, Vancouver, BC and drunk on 12/09/2008.  Really enjoyed this DIPA.  Big and resinous, with juicy hop notes; passionfruit, guava and grapefruit.  Piney bitterness at the end with chewy grain.",Beese
Mt. Begbie High Country Kolsch,3.5,"Revelstoke, British Columbia",Mt. Begbie Brewing Company,"12oz bottle from BC Liquor, Vancouver, BC and drunk on 12/09/2008.  A really nice kolsch, with good depth of flavour, and a bitter sweet linger.  Plenty of perfumed hops, fresh cut grass and bready notes on the nose.",Beese
Dubuisson Bush Pêche Mel,3.4,"Pipaix, Belgium",Dubuisson,"33 cl. bottle @ Brent and Rianne.
Amber with a white head. Peach aroma. Sweet taste, of course, but not too overpoweringly sweet. Mild bitter finish. One of the better fruit flavored beers actually.",thanatosti
Late Start Deep,4.0,"Tampa, Florida",Late Start Brewery,"Rami Rami is drinking a Deep by Late Start Brewing at Untappd at Home

Kokos dziwny. Jest, ale ryli dziwny. Reszta zgodnie z oczekiwaniami - gesto, slodko, waniliowo, melasowo, sa tez te daktyle, ale one byly kandyzowane imho. Smak > aromat, przez tego dziwnego kokosa. Calosciowy pycha",rami_pl
